,Name,Platform,Year_of_Release,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count
91,Grand Theft Auto: Liberty City Stories,PSP,2005,2.9,2.81,0.24,1.73,7.69,88.0,65,7.6,451
92,Call of Duty: Advanced Warfare,PS4,2014,2.81,3.48,0.14,1.23,7.66,83.0,39,5.7,1443
94,FIFA 17,PS4,2016,0.66,5.75,0.08,1.11,7.59,85.0,41,5,398
97,Super Mario Galaxy 2,Wii,2010,3.56,2.35,0.98,0.62,7.51,97.0,87,9.1,1854
100,Call of Duty: World at War,X360,2008,4.81,1.88,0.0,0.69,7.38,84.0,84,7.6,580
101,Battlefield 3,X360,2011,4.46,2.11,0.06,0.69,7.32,84.0,57,7.4,2142
102,Need for Speed Underground,PS2,2003,3.27,2.83,0.08,1.02,7.2,85.0,33,8.6,171
103,Just Dance,Wii,2009,3.48,2.99,0.0,0.73,7.2,49.0,21,8,110
104,Battlefield 3,PS3,2011,2.85,2.89,0.35,1.08,7.17,85.0,38,7.5,1761
105,Fallout 4,PS4,2015,2.53,3.27,0.24,1.13,7.16,87.0,58,6.5,4228
106,Tekken 3,PS,1998,3.27,2.22,1.4,0.29,7.16,96.0,15,9.1,367
107,The Legend of Zelda: Twilight Princess,Wii,2006,3.74,2.14,0.6,0.68,7.15,95.0,73,9,1658
109,Crash Bandicoot 3: Warped,PS,1998,3.68,1.75,1.42,0.28,7.13,91.0,12,8.9,432
110,Mario Kart 8,WiiU,2014,3.15,2.15,1.28,0.51,7.09,88.0,82,9.1,1599
111,Super Smash Bros. Melee,GC,2001,4.41,1.04,1.39,0.22,7.07,92.0,38,9.1,568
113,Need for Speed Underground 2,PS2,2004,2.71,3.02,0.08,1.09,6.9,82.0,39,8.6,132
114,Medal of Honor: Frontline,PS2,2002,2.93,2.75,0.17,0.99,6.83,88.0,29,8.5,135
117,Gears of War 2,X360,2008,4.15,1.9,0.06,0.64,6.75,93.0,90,7.7,2739
118,Uncharted 3: Drake's Deception,PS3,2011,2.77,2.75,0.19,1.03,6.74,92.0,97,8.3,3712
120,Call of Duty 4: Modern Warfare,PS3,2007,3.11,2.26,0.28,1.03,6.68,94.0,44,8.4,993
121,Uncharted 2: Among Thieves,PS3,2009,3.27,2.2,0.21,0.98,6.66,96.0,105,8.8,5187
125,Red Dead Redemption,PS3,2010,2.79,2.53,0.17,0.99,6.49,95.0,73,8.8,2456
126,FIFA 14,PS3,2013,0.78,4.24,0.07,1.37,6.47,86.0,37,4.3,576
127,Assassin's Creed III,PS3,2012,2.64,2.52,0.16,1.12,6.45,85.0,41,6.9,1307
128,Donkey Kong Country Returns,Wii,2010,3.17,1.79,1.03,0.46,6.44,87.0,77,8.6,368
129,Halo: Combat Evolved,XB,2001,4.98,1.3,0.08,0.07,6.43,97.0,68,8.6,1283
130,The Elder Scrolls V: Skyrim,PS3,2011,2.55,2.6,0.25,1.0,6.41,92.0,16,6.4,2527
131,Pokémon Emerald Version,GBA,2004,2.57,1.58,2.06,0.21,6.41,76.0,28,9,222
132,Kingdom Hearts,PS2,2002,3.64,1.2,1.49,0.07,6.4,85.0,46,8.8,597
134,Halo 3: ODST,X360,2009,4.34,1.34,0.06,0.61,6.34,83.0,94,7.1,1163
135,Red Dead Redemption,X360,2010,3.7,1.95,0.09,0.58,6.32,95.0,96,9,2316
136,Super Mario Sunshine,GC,2002,4.01,1.26,0.87,0.17,6.31,92.0,61,8.6,439
138,World of Warcraft,PC,2004,0.08,6.21,0.0,0.0,6.29,93.0,57,7.3,2182
139,Driver,PS,1999,3.11,2.8,0.02,0.33,6.27,87.0,22,8.1,78
140,Gears of War 3,X360,2011,4.05,1.59,0.07,0.5,6.21,91.0,96,7.8,1504
141,Kinect Sports,X360,2010,3.92,1.73,0.03,0.51,6.19,73.0,51,7.4,95
142,Gears of War,X360,2006,3.54,1.88,0.07,0.6,6.09,94.0,88,8.3,2295
143,FIFA 15,PS4,2014,0.8,4.33,0.05,0.9,6.08,82.0,47,5.7,988
144,Metal Gear Solid 2: Sons of Liberty,PS2,2001,2.45,2.01,0.87,0.72,6.05,96.0,42,8.7,1026
146,Metal Gear Solid,PS,1998,3.18,1.83,0.78,0.24,6.03,94.0,20,9.4,918
147,Metal Gear Solid 4: Guns of the Patriots,PS3,2008,2.63,1.71,0.83,0.82,5.99,94.0,82,8.7,3558
148,Final Fantasy XII,PS2,2006,1.88,0.0,2.33,1.74,5.95,92.0,64,7.6,972
149,The Last of Us,PS3,2013,2.41,2.18,0.28,0.99,5.87,95.0,98,9.1,8003
150,LittleBigPlanet,PS3,2008,2.8,1.98,0.17,0.87,5.82,95.0,85,6.8,5311
151,Resident Evil 2,PS,1998,1.88,1.47,2.02,0.45,5.82,89.0,13,9.2,364
152,Dragon Quest IX: Sentinels of the Starry Skies,DS,2009,0.63,0.67,4.35,0.15,5.78,87.0,65,8.8,197
154,Destiny,PS4,2014,2.49,2.07,0.16,0.92,5.64,76.0,95,6.1,5380
155,LEGO Star Wars: The Complete Saga,Wii,2007,3.57,1.55,0.0,0.51,5.64,80.0,17,8.9,62
159,Assassin's Creed II,PS3,2009,2.54,1.93,0.21,0.86,5.55,91.0,70,8.6,1202
160,Assassin's Creed,X360,2007,3.28,1.64,0.07,0.56,5.54,81.0,77,7.7,1074
161,Forza Motorsport 3,X360,2009,2.99,1.9,0.1,0.5,5.49,92.0,90,8,516
163,Monster Hunter Freedom Unite,PSP,2008,0.47,0.55,4.13,0.34,5.48,81.0,48,8.7,124
164,Batman: Arkham City,PS3,2011,2.71,1.85,0.11,0.81,5.48,96.0,42,8.6,2162
165,Grand Theft Auto V,XOne,2014,2.81,2.19,0.0,0.47,5.48,97.0,14,7.9,764
166,Mario Kart: Super Circuit,GBA,2001,2.62,1.64,0.99,0.23,5.47,93.0,24,8.3,108
169,Crash Bandicoot: The Wrath of Cortex,PS2,2001,2.07,2.29,0.24,0.82,5.42,66.0,22,7.1,156
170,Call of Duty: World at War,PS3,2008,2.73,1.83,0.0,0.83,5.39,85.0,45,7.6,409
171,Uncharted 4: A Thief's End,PS4,2016,1.85,2.5,0.19,0.85,5.38,93.0,113,7.9,7064
173,Final Fantasy XIII,PS3,2009,1.74,1.21,1.87,0.51,5.33,83.0,83,7.3,2483
175,Final Fantasy IX,PS,2000,1.62,0.77,2.78,0.14,5.3,94.0,22,8.9,779
176,Assassin's Creed III,X360,2012,3.13,1.69,0.03,0.44,5.29,84.0,61,6.7,1196
177,Final Fantasy X-2,PS2,2003,1.92,1.08,2.11,0.17,5.29,85.0,45,6.6,400
179,Call of Duty: Advanced Warfare,XOne,2014,3.22,1.55,0.01,0.48,5.27,81.0,53,5.4,898
181,Assassin's Creed II,X360,2009,3.11,1.55,0.08,0.51,5.26,90.0,82,8.8,1305
183,Madden NFL 2004,PS2,0,4.26,0.26,0.01,0.71,5.23,94.0,29,8.5,140
185,New Super Mario Bros. U,WiiU,2012,2.3,1.34,1.27,0.32,5.22,84.0,70,8.1,733
186,Dragon Quest VIII: Journey of the Cursed King,PS2,2004,0.65,0.75,3.61,0.2,5.21,89.0,63,8.8,245
188,Professor Layton and the Curious Village,DS,2007,1.21,2.43,1.03,0.52,5.19,85.0,72,8.6,147
190,FIFA Soccer 13,X360,2012,1.09,3.47,0.03,0.57,5.16,90.0,48,6.1,403
192,Diablo III,PC,2012,2.44,2.16,0.0,0.54,5.14,88.0,86,4,9629
193,Medal of Honor: Rising Sun,PS2,2003,1.98,2.23,0.13,0.8,5.13,68.0,30,7.6,100
196,Guitar Hero II,PS2,2006,3.81,0.63,0.0,0.68,5.12,92.0,69,8.5,112
197,Fable III,X360,2010,3.59,1.08,0.05,0.38,5.1,80.0,88,6.5,604
199,Resident Evil 5,PS3,2009,1.96,1.41,1.08,0.64,5.09,84.0,76,7.5,667
200,The Legend of Zelda: Phantom Hourglass,DS,2007,1.85,1.8,0.95,0.48,5.08,90.0,57,8,416
202,FIFA Soccer 11,PS3,2010,0.61,3.28,0.06,1.12,5.07,89.0,51,8,233
204,Grand Theft Auto: Vice City Stories,PSP,2006,1.7,1.99,0.16,1.18,5.03,86.0,50,8,150
205,Tony Hawk's Pro Skater,PS,1999,3.42,1.38,0.02,0.2,5.02,92.0,18,9.2,69
211,Fallout 3,X360,2008,3.4,0.99,0.09,0.45,4.93,93.0,84,8.5,1655
212,Uncharted: Drake's Fortune,PS3,2007,2.31,1.72,0.12,0.77,4.92,88.0,66,8.1,2306
213,Madden NFL 06,PS2,2005,3.98,0.26,0.01,0.66,4.91,88.0,29,8,121
218,StarCraft II: Wings of Liberty,PC,2010,2.57,1.68,0.0,0.58,4.84,93.0,82,8.2,3052
219,Assassin's Creed,PS3,2007,1.91,2.0,0.09,0.82,4.82,81.0,40,7.3,769
220,God of War III,PS3,2010,2.74,1.33,0.12,0.61,4.8,92.0,101,8.7,2633
221,Crash Team Racing,PS,1999,2.57,1.57,0.44,0.21,4.79,88.0,20,9,233
223,Driver 2,PS,2000,2.36,2.1,0.02,0.25,4.73,62.0,14,7.7,92
224,Batman: Arkham City,X360,2011,2.99,1.27,0.04,0.42,4.73,94.0,87,8.7,1472
227,Tony Hawk's Pro Skater 2,PS,2000,3.05,1.41,0.02,0.2,4.68,98.0,19,7.7,299
228,The Lord of the Rings: The Two Towers,PS2,2002,1.94,1.95,0.08,0.7,4.67,82.0,32,8.2,78
229,Tomb Raider,PS,1996,2.29,1.97,0.13,0.24,4.63,91.0,13,8.6,147
230,Animal Crossing: City Folk,Wii,2008,1.82,1.12,1.32,0.36,4.62,73.0,50,7.6,119
231,Uncharted: The Nathan Drake Collection,PS4,2015,2.07,1.71,0.08,0.76,4.62,86.0,78,8.1,1264
233,The Legend of Zelda: The Wind Waker,GC,2002,2.6,0.99,0.89,0.13,4.6,96.0,80,8.9,968
234,Guitar Hero III: Legends of Rock,Wii,2007,3.04,1.11,0.0,0.43,4.6,86.0,36,8.4,87
235,Luigi's Mansion: Dark Moon,3DS,2013,1.8,1.39,1.11,0.29,4.59,86.0,74,8.4,458
236,Forza Motorsport 4,X360,2011,2.08,1.97,0.06,0.46,4.57,91.0,83,8.2,617
238,Madden NFL 2005,PS2,2004,4.18,0.26,0.01,0.08,4.53,91.0,30,7.9,78
239,Guitar Hero III: Legends of Rock,X360,2007,3.19,0.91,0.01,0.42,4.53,85.0,69,7.9,165
242,Halo 5: Guardians,XOne,2015,2.78,1.27,0.03,0.41,4.48,84.0,101,6.4,2438
245,Call of Duty: Infinite Warfare,PS4,2016,1.61,2.0,0.15,0.71,4.46,77.0,82,3.4,1129
246,God of War,PS2,2005,2.71,1.29,0.02,0.43,4.45,94.0,75,8.9,997
247,Splatoon,WiiU,2015,1.54,1.18,1.46,0.26,4.43,81.0,88,8.5,1184
248,Nintendo Land,WiiU,2012,2.52,1.11,0.46,0.33,4.42,77.0,61,7.9,471
249,Tony Hawk's Pro Skater 3,PS2,2001,2.66,1.29,0.01,0.46,4.41,97.0,34,7.5,298
251,The Elder Scrolls IV: Oblivion,X360,2006,2.82,1.03,0.13,0.4,4.38,94.0,90,8.7,1109
253,Need for Speed: Most Wanted,PS2,2005,2.03,1.79,0.08,0.47,4.37,82.0,36,9.1,137
256,Resistance: Fall of Man,PS3,2006,1.74,1.72,0.14,0.75,4.34,86.0,70,8.1,715
258,Kingdom Hearts II,PS2,2005,2.2,0.58,1.38,0.17,4.33,87.0,64,9,766
260,Super Mario 3D World,WiiU,2013,2.11,1.16,0.73,0.32,4.32,93.0,83,9,1607
265,Fable II,X360,2008,2.51,1.24,0.11,0.41,4.27,89.0,95,6.5,2423
267,Batman: Arkham Asylum,PS3,2009,2.24,1.31,0.07,0.61,4.23,91.0,70,8.9,1122
268,Metal Gear Solid 3: Snake Eater,PS2,2004,1.46,0.0,0.83,1.93,4.23,91.0,68,9.3,955
269,Assassin's Creed: Revelations,PS3,2011,1.41,2.01,0.1,0.7,4.22,80.0,39,7.5,613
270,Fallout 4,XOne,2015,2.51,1.32,0.01,0.38,4.22,88.0,39,6.2,1749
271,FIFA 14,X360,2013,0.92,2.89,0.01,0.4,4.22,84.0,41,4.2,435
272,Daxter,PSP,2006,2.45,1.01,0.0,0.75,4.21,85.0,59,8.7,109
276,Gran Turismo 5 Prologue,PS3,2007,1.28,1.82,0.57,0.52,4.19,80.0,67,7.1,120
277,Assassin's Creed: Revelations,X360,2011,2.25,1.47,0.04,0.43,4.19,80.0,77,7.2,564
280,Street Fighter IV,PS3,2009,2.03,1.04,0.58,0.52,4.16,94.0,61,7.3,330
283,Madden NFL 2003,PS2,2002,3.36,0.21,0.01,0.56,4.14,95.0,25,7.7,65
284,Half-Life,PC,1997,4.03,0.0,0.09,0.0,4.12,96.0,24,9.1,3161
288,World of Warcraft: The Burning Crusade,PC,2007,2.57,1.52,0.0,0.0,4.09,91.0,46,7.9,785
289,Battlefield 1,PS4,2016,1.1,2.15,0.21,0.61,4.08,88.0,31,8.4,809
290,God of War II,PS2,2007,2.32,0.04,0.04,1.67,4.07,93.0,70,8.9,709
292,Fallout: New Vegas,X360,2010,2.66,1.03,0.04,0.33,4.05,84.0,81,8.1,769
293,Forza Motorsport 2,X360,2007,2.35,1.27,0.03,0.41,4.05,90.0,66,8.3,381
295,Watch Dogs,PS4,2014,1.4,1.9,0.11,0.64,4.05,80.0,80,6.3,2996
297,Tekken Tag Tournament,PS2,2000,1.68,1.51,0.51,0.35,4.05,85.0,25,8.5,117
298,Far Cry 4,PS4,2014,1.13,2.18,0.1,0.63,4.04,85.0,83,7.7,1653
302,Left 4 Dead 2,X360,2009,2.67,0.87,0.05,0.38,3.97,89.0,76,8.6,681
303,The Witcher 3: Wild Hunt,PS4,2015,1.02,2.13,0.23,0.59,3.97,92.0,79,9.2,10179
304,Assassin's Creed: Unity,PS4,2014,1.19,2.07,0.08,0.62,3.96,70.0,40,4.9,2050
305,Batman: Arkham Knight,PS4,2015,1.53,1.69,0.1,0.64,3.95,87.0,89,7.6,2679
306,The Legend of Zelda: Skyward Sword,Wii,2011,2.03,1.16,0.37,0.38,3.95,93.0,81,8,1958
307,Fallout 3,PS3,2008,2.15,1.13,0.07,0.59,3.94,90.0,57,8,910
308,Professor Layton and the Diabolical Box,DS,2007,0.9,1.76,0.92,0.37,3.94,84.0,65,8.8,72
311,Tony Hawk's Underground,PS2,2003,2.29,1.17,0.01,0.42,3.9,90.0,38,8.7,121
312,Monster Hunter 4 Ultimate,3DS,2014,0.68,0.48,2.62,0.11,3.89,86.0,80,8.7,348
313,The Elder Scrolls V: Skyrim,PC,2011,1.16,2.12,0.0,0.6,3.88,94.0,32,8.1,9073
314,NBA 2K16,PS4,2015,2.49,0.66,0.03,0.69,3.88,87.0,51,6.7,364
315,Tekken 5,PS2,2005,0.93,1.94,0.31,0.7,3.87,88.0,62,8.6,229
320,Sports Champions,PS3,2010,2.13,1.12,0.1,0.5,3.84,76.0,64,7.9,104
323,Call of Duty: Ghosts,PS4,2013,1.78,1.43,0.05,0.57,3.83,78.0,49,3.7,1564
325,Tom Clancy's The Division,PS4,2016,1.35,1.7,0.15,0.6,3.8,80.0,64,7,2219
329,LEGO Indiana Jones: The Original Adventures,X360,2008,2.4,1.01,0.0,0.36,3.76,77.0,60,7.5,66
335,Super Paper Mario,Wii,2007,1.95,0.86,0.59,0.31,3.71,85.0,56,7.9,417
336,Spyro: Year of the Dragon,PS,2000,1.93,1.58,0.0,0.19,3.71,91.0,15,8.8,207
337,Assassin's Creed IV: Black Flag,PS3,2013,1.33,1.68,0.13,0.57,3.71,88.0,36,8.1,840
338,FIFA Soccer 2005,PS2,2004,0.58,2.48,0.04,0.59,3.7,81.0,27,7.6,56
341,Tony Hawk's Pro Skater 4,PS2,2002,2.13,1.18,0.01,0.35,3.67,94.0,27,8.5,128
346,SOCOM: U.S. Navy SEALs,PS2,2002,2.53,0.81,0.06,0.24,3.65,82.0,42,7.9,82
347,Jak and Daxter: The Precursor Legacy,PS2,2001,2.08,1.09,0.15,0.33,3.64,90.0,35,8.7,312
350,Resident Evil 4,PS2,2005,2.08,0.83,0.46,0.25,3.62,96.0,38,8.9,1013
351,Guitar Hero: World Tour,Wii,2008,2.32,0.96,0.0,0.34,3.62,86.0,18,7.6,71
352,FIFA Soccer 10,PS3,2009,0.6,2.45,0.05,0.52,3.62,91.0,56,7.6,203
353,Star Wars: Battlefront,PS2,2004,1.93,1.22,0.03,0.44,3.61,82.0,36,8.7,142
356,Luigi's Mansion,GC,2001,2.38,0.67,0.46,0.1,3.6,78.0,34,8.5,161
357,Battlefield 4,PS4,2013,1.35,1.55,0.17,0.51,3.59,85.0,18,6.9,1580
358,Star Wars: Battlefront II,PS2,2005,2.18,1.02,0.03,0.37,3.59,84.0,30,9,268
363,Grand Theft Auto: Liberty City Stories,PS2,2006,1.56,1.4,0.07,0.5,3.54,78.0,49,7.8,112
364,The Getaway,PS2,2002,1.23,1.77,0.05,0.49,3.54,72.0,49,6.8,88
369,FIFA Soccer 11,X360,2010,0.71,2.39,0.02,0.4,3.52,88.0,66,7.5,155
371,Left 4 Dead,X360,2008,2.66,0.49,0.05,0.3,3.51,89.0,67,7.9,1309
373,Assassin's Creed: Unity,XOne,2014,2.27,0.9,0.0,0.33,3.5,72.0,59,4.1,1005
375,Resident Evil 5,X360,2009,2.11,0.93,0.12,0.34,3.5,83.0,91,7.5,523
376,Assassin's Creed: Brotherhood,X360,2010,2.85,0.38,0.03,0.24,3.49,89.0,81,8.3,693
377,FIFA Soccer 2004,PS2,0,0.59,2.36,0.04,0.51,3.49,84.0,20,6.4,76
378,Battlefield 4,PS3,2013,1.3,1.42,0.27,0.5,3.49,80.0,14,5.8,579
379,Batman: Arkham Asylum,X360,2009,2.2,0.95,0.02,0.31,3.48,92.0,78,8.7,1080
380,Battlefield 4,X360,2013,2.15,1.01,0.02,0.31,3.48,79.0,21,5.6,542
381,Battlefield: Bad Company 2,X360,2010,2.1,1.01,0.04,0.32,3.47,88.0,75,8.6,869
386,Borderlands,X360,2009,2.4,0.71,0.03,0.29,3.44,84.0,83,8.2,715
387,Tekken 4,PS2,2002,1.55,1.27,0.33,0.29,3.44,79.0,23,8.3,126
389,Grand Theft Auto 2,PS,1998,1.13,2.07,0.0,0.22,3.42,70.0,15,8,67
390,Metal Gear Solid V: The Phantom Pain,PS4,2015,1.09,1.36,0.49,0.48,3.41,93.0,86,8.2,3943
391,Spider-Man 2,PS2,2004,1.75,1.2,0.02,0.43,3.41,80.0,50,8.9,106
394,LittleBigPlanet 2,PS3,2011,1.83,1.05,0.06,0.46,3.39,91.0,86,8.4,657
395,Crash Bash,PS,2000,1.56,1.47,0.19,0.17,3.39,68.0,12,8.2,99
396,Assassin's Creed Syndicate,PS4,2015,0.81,1.99,0.07,0.52,3.39,76.0,86,6.8,1319
397,LEGO Batman: The Videogame,X360,2008,2.04,1.02,0.0,0.32,3.38,76.0,49,7.9,75
398,Destiny,XOne,2014,2.14,0.92,0.0,0.31,3.37,75.0,11,5.5,1735
401,Far Cry 3,PS3,2012,0.88,1.7,0.1,0.67,3.35,90.0,32,8.5,1041
404,James Bond 007: Nightfire,PS2,2002,1.45,1.29,0.12,0.46,3.33,77.0,20,8.5,66
407,Star Wars Episode III: Revenge of the Sith,PS2,2005,1.47,1.39,0.03,0.43,3.32,60.0,34,7.2,82
408,The Legend of Zelda: Spirit Tracks,DS,2009,1.4,0.91,0.74,0.26,3.31,87.0,75,7.8,228
409,Max Payne,PS2,2001,1.99,1.05,0.05,0.22,3.31,80.0,21,8.5,86
410,Assassin's Creed IV: Black Flag,X360,2013,1.9,1.11,0.01,0.29,3.3,86.0,35,7.9,701
411,The Lord of the Rings: The Return of the King,PS2,2003,1.5,1.28,0.05,0.46,3.28,85.0,31,8.7,105
413,Gears of War: Ultimate Edition,XOne,2015,2.61,0.33,0.0,0.34,3.28,82.0,74,7.5,563
414,True Crime: Streets of LA,PS2,2003,1.89,1.05,0.02,0.31,3.27,77.0,39,8,94
415,Professor Layton and the Unwound Future,DS,2008,0.6,1.57,0.82,0.27,3.26,86.0,62,9.2,111
417,FIFA 16,XOne,2015,0.89,2.12,0.0,0.24,3.25,84.0,45,4.4,459
418,Wii Music,Wii,2008,1.35,1.11,0.46,0.32,3.25,63.0,43,4.6,116
420,Madden NFL 16,PS4,2015,2.34,0.3,0.0,0.6,3.24,83.0,37,5.9,180
421,Gran Turismo 6,PS3,2013,0.72,1.67,0.4,0.44,3.23,81.0,81,7.7,758
422,Halo: The Master Chief Collection,XOne,2014,1.91,1.0,0.03,0.29,3.23,85.0,69,7.2,1267
424,Super Mario Maker,WiiU,2015,1.18,0.89,0.94,0.2,3.21,88.0,85,8.7,691
429,God of War: Chains of Olympus,PSP,2008,1.48,1.0,0.04,0.66,3.18,91.0,79,8.6,565
430,Enter the Matrix,PS2,2003,1.78,1.12,0.09,0.19,3.18,62.0,30,8.1,137
431,Crisis Core: Final Fantasy VII,PSP,2007,1.35,0.59,0.8,0.43,3.18,83.0,67,8,463
432,Dance Central,X360,2010,2.15,0.76,0.01,0.26,3.17,82.0,63,7.6,85
433,L.A. Noire,PS3,2011,1.27,1.29,0.12,0.49,3.17,89.0,78,7.7,1010
434,Ace Combat 04: Shattered Skies,PS2,2001,2.06,0.56,0.38,0.17,3.17,89.0,22,9.1,95
435,Animal Crossing,GC,2001,1.92,0.16,0.99,0.09,3.15,87.0,42,8.9,137
438,Spider-Man,PS,2000,1.7,1.25,0.02,0.16,3.13,87.0,19,9,107
439,Mario Party 9,Wii,2012,1.06,1.09,0.76,0.22,3.13,73.0,45,6.8,155
442,Sonic Rush,DS,2005,1.21,1.56,0.06,0.29,3.12,82.0,43,8.5,101
444,Rhythm Heaven,DS,2008,0.55,0.5,1.93,0.13,3.11,83.0,48,9,63
445,Fallout: New Vegas,PS3,2010,1.52,1.03,0.1,0.46,3.11,82.0,57,7.8,492
